DATE,PLAYER,TEAM,PTS,REB,AST,STL,BLK,RES,LOC,VS,POS,LAT,LON
2020-08-04,Luka Dončić,DAL,34,20.0,12.0,0.0,2.0,W,AWAY,SAC,SAC,38.580361,-121.499611
2020-08-08,Luka Dončić,DAL,36,14.0,19.0,1.0,0.0,W,HOME,MIL,DAL,32.790556,-96.810278
2020-08-13,Jonas Valanciunas,MEM,26,19.0,12.0,0.0,0.0,W,HOME,MIL,MEM,35.138333,-90.050556
2020-08-13,Ja Morant,MEM,12,13.0,10.0,0.0,0.0,W,HOME,MIL,MEM,35.138333,-90.050556
2020-12-23,Russell Westbrook,WAS,21,11.0,15.0,0.0,0.0,L,AWAY,PHI,PHI,39.901111,-75.171944
2020-12-23,Nikola Jokić,DEN,29,15.0,14.0,0.0,2.0,L,HOME,SAC,DEN,39.74892,-105.0084
2020-12-26,Dejounte Murray,SAS,11,10.0,10.0,0.0,0.0,W,HOME,TOR,SAS,29.426944,-98.4375
2020-12-26,Russell Westbrook,WAS,15,15.0,12.0,2.0,0.0,L,HOME,ORL,WAS,38.8982,-77.0209
2020-12-26,Domantas Sabonis,IND,22,10.0,11.0,1.0,0.0,W,AWAY,CHI,CHI,41.880556,-87.674167
2020-12-28,Nikola Jokić,DEN,19,12.0,18.0,3.0,1.0,W,HOME,HOU,DEN,39.74892,-105.0084
2020-12-29,Russell Westbrook,WAS,21,15.0,11.0,1.0,0.0,L,HOME,CHI,WAS,38.8982,-77.0209
2020-12-29,Nikola Jokić,DEN,26,10.0,12.0,2.0,0.0,L,AWAY,SAC,SAC,38.580361,-121.499611
2020-12-29,Julius Randle,NYK,28,12.0,11.0,1.0,0.0,W,AWAY,CLE,CLE,41.496389,-81.688056
2020-12-30,Giannis Antetokounmpo,MIL,26,13.0,10.0,3.0,1.0,L,AWAY,MIA,MIA,25.781389,-80.188056
2020-12-31,Russell Westbrook,WAS,22,10.0,11.0,1.0,0.0,L,HOME,CHI,WAS,38.8982,-77.0209
2021-01-01,LeBron James,LAL,26,11.0,10.0,2.0,0.0,W,AWAY,SAS,SAS,29.426944,-98.4375
2021-01-02,Ben Simmons,PHI,15,12.0,11.0,1.0,1.0,W,HOME,CHA,PHI,39.901111,-75.171944
2021-01-03,Nikola Jokić,DEN,19,12.0,12.0,0.0,0.0,W,AWAY,MIN,MIN,44.9795,-93.2761
2021-01-04,Luka Dončić,DAL,33,16.0,11.0,0.0,0.0,W,AWAY,HOU,HOU,29.750833,-95.362222
2021-01-06,Steven Adams,NOP,10,11.0,10.0,1.0,0.0,L,HOME,OKC,NOP,29.948889,-90.081944
2021-01-09,Luka Dončić,DAL,20,10.0,10.0,1.0,2.0,W,HOME,ORL,DAL,32.790556,-96.810278
2021-01-09,LaMelo Ball,CHA,22,12.0,11.0,1.0,0.0,W,HOME,ATL,CHA,35.225,-80.839167
2021-01-11,Pascal Siakam,TOR,22,13.0,10.0,1.0,0.0,L,AWAY,POR,POR,45.531667,-122.666667
2021-01-13,Giannis Antetokounmpo,MIL,22,10.0,10.0,2.0,3.0,W,AWAY,DET,DET,42.341111,-83.055
2021-01-14,Ben Simmons,PHI,10,10.0,12.0,3.0,0.0,W,HOME,MIA,PHI,39.901111,-75.171944
2021-01-14,Nikola Jokić,DEN,23,14.0,10.0,3.0,0.0,W,HOME,GSW,DEN,39.74892,-105.0084
2021-01-15,Luka Dončić,DAL,28,10.0,13.0,0.0,0.0,L,AWAY,MIL,MIL,43.045028,-87.918167
2021-01-16,James Harden,BKN,32,12.0,14.0,4.0,1.0,W,HOME,ORL,BKN,40.682661,-73.975225
2021-01-17,Luka Dončić,DAL,36,16.0,15.0,2.0,0.0,L,HOME,CHI,DAL,32.790556,-96.810278
2021-01-18,Aaron Gordon,ORL,18,17.0,10.0,0.0,2.0,L,AWAY,NYK,NYK,40.750556,-73.993611
2021-01-20,Luka Dončić,DAL,13,12.0,12.0,0.0,1.0,W,AWAY,IND,IND,39.763889,-86.155556
2021-01-20,James Harden,BKN,21,10.0,12.0,2.0,0.0,L,AWAY,CLE,CLE,41.496389,-81.688056
2021-01-22,Clint Capela,ATL,13,19.0,0.0,1.0,10.0,W,AWAY,MIN,MIN,44.9795,-93.2761
2021-01-24,Dejounte Murray,SAS,11,11.0,10.0,1.0,0.0,W,HOME,WAS,SAS,29.426944,-98.4375
2021-01-25,Luka Dončić,DAL,35,11.0,16.0,4.0,1.0,L,HOME,DEN,DAL,32.790556,-96.810278
2021-01-27,Ben Simmons,PHI,17,11.0,10.0,1.0,1.0,W,HOME,LAL,PHI,39.901111,-75.171944
2021-01-27,Domantas Sabonis,IND,22,11.0,10.0,1.0,0.0,W,AWAY,CHA,CHA,35.225,-80.839167
2021-01-29,James Harden,BKN,25,10.0,11.0,0.0,1.0,W,AWAY,OKC,OKC,35.463333,-97.515
2021-02-02,James Harden,BKN,23,12.0,14.0,1.0,0.0,W,HOME,LAC,BKN,40.682661,-73.975225
2021-02-02,Kyle Lowry,TOR,14,10.0,10.0,4.0,0.0,W,AWAY,ORL,ORL,28.539167,-81.383611
2021-02-02,Russell Westbrook,WAS,17,12.0,10.0,0.0,0.0,L,HOME,POR,WAS,38.8982,-77.0209
2021-02-03,Giannis Antetokounmpo,MIL,21,14.0,10.0,2.0,1.0,W,HOME,IND,MIL,43.045028,-87.918167
2021-02-04,LeBron James,LAL,27,10.0,10.0,0.0,1.0,W,HOME,DEN,LAL,34.043056,-118.267222
2021-02-08,LeBron James,LAL,28,14.0,12.0,2.0,2.0,W,HOME,OKC,LAL,34.043056,-118.267222
2021-02-10,Luka Dončić,DAL,28,10.0,10.0,1.0,2.0,W,HOME,ATL,DAL,32.790556,-96.810278
2021-02-11,Jimmy Butler,MIA,27,10.0,10.0,0.0,0.0,W,AWAY,HOU,HOU,29.750833,-95.362222
2021-02-14,Mason Plumlee,DET,17,10.0,10.0,0.0,0.0,W,HOME,NOP,DET,42.341111,-83.055
2021-02-14,Giannis Antetokounmpo,MIL,24,17.0,10.0,3.0,3.0,L,AWAY,OKC,OKC,35.463333,-97.515
2021-02-14,Nikola Jokić,DEN,23,16.0,10.0,0.0,1.0,W,HOME,LAL,DEN,39.74892,-105.0084
2021-02-15,Jimmy Butler,MIA,30,10.0,10.0,2.0,0.0,L,AWAY,LAC,LAC,34.043056,-118.267222
2021-02-15,Russell Westbrook,WAS,16,13.0,15.0,0.0,0.0,W,HOME,HOU,WAS,38.8982,-77.0209
2021-02-15,James Harden,BKN,29,13.0,14.0,0.0,1.0,W,AWAY,SAC,SAC,38.580361,-121.499611
2021-02-17,Russell Westbrook,WAS,12,13.0,12.0,2.0,1.0,W,HOME,DEN,WAS,38.8982,-77.0209
2021-02-17,Domantas Sabonis,IND,36,16.0,10.0,3.0,1.0,W,AWAY,MIN,MIN,44.9795,-93.2761
2021-02-17,Ja Morant,MEM,15,11.0,12.0,1.0,0.0,W,HOME,OKC,MEM,35.138333,-90.050556
2021-02-17,Jimmy Butler,MIA,13,12.0,11.0,3.0,0.0,L,AWAY,GSW,GSW,37.768,-122.387
2021-02-18,Jimmy Butler,MIA,13,10.0,13.0,1.0,0.0,W,AWAY,SAC,SAC,38.580361,-121.499611
2021-02-18,Bam Adebayo,MIA,16,12.0,10.0,0.0,0.0,W,AWAY,SAC,SAC,38.580361,-121.499611
2021-02-19,Nikola Vucevic,ORL,30,16.0,10.0,1.0,1.0,W,HOME,GSW,ORL,28.539167,-81.383611
2021-02-19,Nikola Jokić,DEN,16,12.0,10.0,4.0,1.0,W,AWAY,CLE,CLE,41.496389,-81.688056
2021-02-20,Russell Westbrook,WAS,27,11.0,13.0,0.0,0.0,W,AWAY,POR,POR,45.531667,-122.666667
2021-02-23,James Harden,BKN,29,11.0,14.0,1.0,0.0,W,HOME,SAC,BKN,40.682661,-73.975225
2021-02-25,Russell Westbrook,WAS,16,10.0,10.0,3.0,0.0,W,AWAY,DEN,DEN,39.74892,-105.0084
2021-02-26,Kyle Lowry,TOR,20,11.0,10.0,1.0,1.0,W,HOME,HOU,TOR,43.643333,-79.379167
2021-02-26,Draymond Green,GSW,11,12.0,19.0,1.0,1.0,W,HOME,CHA,GSW,37.768,-122.387
2021-02-27,Russell Westbrook,WAS,19,14.0,12.0,2.0,0.0,W,HOME,MIN,WAS,38.8982,-77.0209
2021-02-27,Nikola Jokić,DEN,19,11.0,13.0,2.0,0.0,W,AWAY,OKC,OKC,35.463333,-97.515
2021-03-01,James Harden,BKN,30,14.0,15.0,2.0,0.0,W,AWAY,SAS,SAS,29.426944,-98.4375
2021-03-02,Nikola Jokić,DEN,37,10.0,11.0,2.0,0.0,W,AWAY,MIL,MIL,43.045028,-87.918167
2021-03-03,Dennis Smith Jr.,DET,10,12.0,11.0,3.0,0.0,W,AWAY,TOR,TOR,43.643333,-79.379167
2021-03-03,Mason Plumlee,DET,14,11.0,10.0,1.0,1.0,W,AWAY,TOR,TOR,43.643333,-79.379167
2021-03-03,James Harden,BKN,29,10.0,14.0,3.0,1.0,W,AWAY,HOU,HOU,29.750833,-95.362222
2021-03-03,T.J. McConnell,IND,16,4.0,13.0,10.0,1.0,W,AWAY,CLE,CLE,41.496389,-81.688056
2021-03-04,Domantas Sabonis,IND,10,10.0,10.0,4.0,0.0,L,HOME,DEN,IND,39.763889,-86.155556
2021-03-10,Luka Dončić,DAL,22,12.0,12.0,0.0,0.0,W,HOME,SAS,DAL,32.790556,-96.810278
2021-03-11,Giannis Antetokounmpo,MIL,24,10.0,10.0,1.0,1.0,W,HOME,NYK,MIL,43.045028,-87.918167
2021-03-13,Julius Randle,NYK,26,12.0,12.0,2.0,0.0,W,AWAY,OKC,OKC,35.463333,-97.515
2021-03-13,Russell Westbrook,WAS,42,10.0,12.0,2.0,0.0,L,HOME,MIL,WAS,38.8982,-77.0209
2021-03-13,Giannis Antetokounmpo,MIL,33,11.0,11.0,1.0,1.0,W,AWAY,WAS,WAS,38.8982,-77.0209
2021-03-13,Domantas Sabonis,IND,22,13.0,10.0,4.0,1.0,W,AWAY,PHO,PHO,33.445833,-112.071389
2021-03-13,James Harden,BKN,24,10.0,10.0,2.0,3.0,W,HOME,DET,BKN,40.682661,-73.975225
2021-03-14,Draymond Green,GSW,11,12.0,12.0,4.0,0.0,W,HOME,UTA,GSW,37.768,-122.387
2021-03-15,James Harden,BKN,21,14.0,15.0,0.0,1.0,W,HOME,NYK,BKN,40.682661,-73.975225
2021-03-15,Giannis Antetokounmpo,MIL,31,15.0,10.0,3.0,1.0,W,AWAY,WAS,WAS,38.8982,-77.0209
2021-03-15,LeBron James,LAL,22,10.0,11.0,0.0,0.0,W,AWAY,GSW,GSW,37.768,-122.387
2021-03-15,Luka Dončić,DAL,25,10.0,16.0,2.0,0.0,L,HOME,LAC,DAL,32.790556,-96.810278
2021-03-16,LeBron James,LAL,25,12.0,12.0,0.0,1.0,W,HOME,MIN,LAL,34.043056,-118.267222
2021-03-17,Russell Westbrook,WAS,26,14.0,10.0,1.0,0.0,L,HOME,SAC,WAS,38.8982,-77.0209
2021-03-17,Ben Simmons,PHI,13,10.0,12.0,2.0,2.0,L,HOME,MIL,PHI,39.901111,-75.171944
2021-03-17,Draymond Green,GSW,16,12.0,10.0,0.0,1.0,W,AWAY,HOU,HOU,29.750833,-95.362222
2021-03-17,Nikola Jokić,DEN,12,10.0,10.0,0.0,0.0,W,HOME,CHA,DEN,39.74892,-105.0084
2021-03-17,Domantas Sabonis,IND,18,11.0,11.0,4.0,1.0,L,HOME,BKN,IND,39.763889,-86.155556
2021-03-17,James Harden,BKN,40,10.0,15.0,2.0,0.0,W,AWAY,IND,IND,39.763889,-86.155556
2021-03-18,Julius Randle,NYK,18,10.0,17.0,1.0,0.0,W,HOME,ORL,NYK,40.750556,-73.993611
2021-03-18,Russell Westbrook,WAS,35,15.0,13.0,2.0,1.0,W,HOME,UTA,WAS,38.8982,-77.0209
2021-03-21,Chris Paul,PHO,11,10.0,13.0,3.0,1.0,W,HOME,LAL,PHO,33.445833,-112.071389
2021-03-21,Nikola Jokić,DEN,29,10.0,10.0,1.0,1.0,L,HOME,NOP,DEN,39.74892,-105.0084
2021-03-21,Russell Westbrook,WAS,29,13.0,13.0,2.0,0.0,L,AWAY,BKN,BKN,40.682661,-73.975225
2021-03-22,John Wall,HOU,19,11.0,10.0,1.0,2.0,W,HOME,TOR,HOU,29.750833,-95.362222
2021-03-23,Nikola Jokić,DEN,28,15.0,10.0,2.0,1.0,W,AWAY,ORL,ORL,28.539167,-81.383611
2021-03-27,Russell Westbrook,WAS,19,19.0,10.0,0.0,0.0,W,HOME,DET,WAS,38.8982,-77.0209
2021-03-29,James Harden,BKN,38,11.0,13.0,1.0,1.0,W,HOME,MIN,BKN,40.682661,-73.975225
2021-03-29,Russell Westbrook,WAS,35,14.0,21.0,2.0,1.0,W,HOME,IND,WAS,38.8982,-77.0209
2021-03-30,Russell Westbrook,WAS,22,15.0,14.0,2.0,0.0,L,HOME,CHA,WAS,38.8982,-77.0209
2021-04-01,Russell Westbrook,WAS,16,11.0,12.0,0.0,1.0,L,AWAY,DET,DET,42.341111,-83.055
2021-04-05,Russell Westbrook,WAS,23,14.0,11.0,1.0,0.0,L,AWAY,TOR,TOR,43.643333,-79.379167
2021-04-05,Julius Randle,NYK,19,15.0,12.0,1.0,1.0,L,AWAY,BKN,BKN,40.682661,-73.975225
2021-04-06,Bam Adebayo,MIA,18,10.0,10.0,3.0,0.0,L,HOME,MEM,MIA,25.781389,-80.188056
2021-04-07,Russell Westbrook,WAS,23,14.0,15.0,0.0,1.0,W,AWAY,ORL,ORL,28.539167,-81.383611
2021-04-09,Julius Randle,NYK,15,10.0,11.0,1.0,0.0,W,HOME,MEM,NYK,40.750556,-73.993611
2021-04-09,Nikola Jokić,DEN,26,13.0,14.0,1.0,0.0,W,HOME,SAS,DEN,39.74892,-105.0084
2021-04-09,Russell Westbrook,WAS,19,14.0,14.0,1.0,0.0,W,AWAY,GSW,GSW,37.768,-122.387
2021-04-10,Russell Westbrook,WAS,17,11.0,14.0,1.0,0.0,L,AWAY,PHO,PHO,33.445833,-112.071389
2021-04-11,Nikola Jokić,DEN,17,10.0,11.0,1.0,1.0,L,HOME,BOS,DEN,39.74892,-105.0084
2021-04-12,Russell Westbrook,WAS,25,14.0,14.0,1.0,0.0,W,AWAY,UTA,UTA,40.768333,-111.901111
2021-04-14,Russell Westbrook,WAS,25,15.0,11.0,4.0,0.0,W,AWAY,SAC,SAC,38.580361,-121.499611
2021-04-14,Nikola Jokić,DEN,17,10.0,11.0,1.0,2.0,W,HOME,MIA,DEN,39.74892,-105.0084
2021-04-14,Draymond Green,GSW,12,10.0,16.0,3.0,2.0,W,AWAY,OKC,OKC,35.463333,-97.515
2021-04-16,Dejounte Murray,SAS,13,11.0,10.0,1.0,0.0,L,HOME,POR,SAS,29.426944,-98.4375
2021-04-17,Russell Westbrook,WAS,15,14.0,11.0,2.0,0.0,W,HOME,DET,WAS,38.8982,-77.0209
2021-04-19,Russell Westbrook,WAS,13,11.0,17.0,3.0,0.0,W,HOME,OKC,WAS,38.8982,-77.0209
2021-04-19,Jayson Tatum,BOS,14,13.0,10.0,0.0,0.0,L,HOME,CHI,BOS,42.366303,-71.062228
2021-04-21,Russell Westbrook,WAS,14,20.0,10.0,3.0,0.0,W,HOME,GSW,WAS,38.8982,-77.0209
2021-04-23,Russell Westbrook,WAS,37,11.0,11.0,0.0,0.0,W,AWAY,OKC,OKC,35.463333,-97.515
2021-04-26,Russell Westbrook,WAS,22,13.0,14.0,1.0,1.0,L,HOME,SAS,WAS,38.8982,-77.0209
2021-04-28,Dejounte Murray,SAS,22,10.0,11.0,1.0,0.0,L,AWAY,MIA,MIA,25.781389,-80.188056
2021-04-28,Lonzo Ball,NOP,16,12.0,12.0,4.0,2.0,L,AWAY,DEN,DEN,39.74892,-105.0084
2021-04-28,Russell Westbrook,WAS,18,18.0,14.0,2.0,0.0,W,HOME,LAL,WAS,38.8982,-77.0209
2021-04-30,Russell Westbrook,WAS,15,12.0,11.0,1.0,0.0,W,AWAY,CLE,CLE,41.496389,-81.688056
2021-05-01,Luka Dončić,DAL,31,12.0,20.0,0.0,0.0,W,HOME,WAS,DAL,32.790556,-96.810278
2021-05-01,Domantas Sabonis,IND,26,19.0,14.0,1.0,0.0,W,AWAY,OKC,OKC,35.463333,-97.515
2021-05-03,Russell Westbrook,WAS,14,21.0,24.0,1.0,1.0,W,HOME,IND,WAS,38.8982,-77.0209
2021-05-03,Draymond Green,GSW,10,13.0,15.0,3.0,2.0,W,AWAY,NOP,NOP,29.948889,-90.081944
2021-05-05,Russell Westbrook,WAS,29,12.0,17.0,3.0,1.0,L,AWAY,MIL,MIL,43.045028,-87.918167
2021-05-06,Russell Westbrook,WAS,13,17.0,17.0,1.0,0.0,W,AWAY,TOR,TOR,43.643333,-79.379167
2021-05-07,Nikola Vucevic,CHI,18,14.0,10.0,2.0,1.0,W,HOME,BOS,CHI,41.880556,-87.674167
2021-05-08,Russell Westbrook,WAS,33,19.0,15.0,1.0,2.0,W,AWAY,IND,IND,39.763889,-86.155556
2021-05-08,Domantas Sabonis,IND,30,13.0,13.0,3.0,0.0,L,HOME,WAS,IND,39.763889,-86.155556
2021-05-10,Russell Westbrook,WAS,28,13.0,21.0,0.0,0.0,L,AWAY,ATL,ATL,33.757222,-84.396389
2021-05-11,Draymond Green,GSW,11,10.0,11.0,4.0,0.0,W,HOME,PHO,GSW,37.768,-122.387
2021-05-11,Domantas Sabonis,IND,16,13.0,15.0,0.0,0.0,W,HOME,PHI,IND,39.763889,-86.155556
2021-05-14,Russell Westbrook,WAS,21,12.0,17.0,3.0,0.0,W,HOME,CLE,WAS,38.8982,-77.0209
2021-05-14,Nikola Jokić,DEN,20,15.0,11.0,0.0,0.0,W,AWAY,DET,DET,42.341111,-83.055
2021-05-14,Luka Dončić,DAL,20,10.0,11.0,0.0,1.0,W,HOME,TOR,DAL,32.790556,-96.810278
2021-05-15,Julius Randle,NYK,33,10.0,13.0,1.0,0.0,W,HOME,CHA,NYK,40.750556,-73.993611
2021-05-16,Russell Westbrook,WAS,23,15.0,10.0,1.0,0.0,W,HOME,CHA,WAS,38.8982,-77.0209
2021-10-19,Stephen Curry,GSW,21,10.0,10.0,3.0,0.0,W,AWAY,LAL,LAL,34.043056,-118.267222
2021-10-22,Lonzo Ball,CHI,17,10.0,11.0,3.0,1.0,W,HOME,NOP,CHI,41.880556,-87.674167
2021-10-22,Kevin Durant,BKN,29,15.0,12.0,1.0,1.0,W,AWAY,PHI,PHI,39.901111,-75.171944
2021-10-26,Dejounte Murray,SAS,21,12.0,15.0,2.0,2.0,L,HOME,LAL,SAS,29.426944,-98.4375
2021-10-27,Russell Westbrook,LAL,20,14.0,13.0,1.0,0.0,L,AWAY,OKC,OKC,35.463333,-97.515
2021-10-31,James Harden,BKN,18,10.0,12.0,0.0,0.0,W,HOME,DET,BKN,40.682661,-73.975225
2021-11-05,James Harden,BKN,13,10.0,10.0,2.0,1.0,W,AWAY,DET,DET,42.341111,-83.055
2021-11-06,Kyle Lowry,MIA,20,12.0,10.0,1.0,0.0,W,HOME,UTA,MIA,25.781389,-80.188056
2021-11-08,LaMelo Ball,CHA,25,16.0,11.0,1.0,1.0,L,AWAY,LAL,LAL,34.043056,-118.267222
2021-11-08,Russell Westbrook,LAL,17,12.0,14.0,3.0,0.0,W,HOME,CHA,LAL,34.043056,-118.267222
2021-11-08,Nikola Jokić,DEN,25,15.0,10.0,2.0,2.0,W,HOME,MIA,DEN,39.74892,-105.0084
2021-11-10,Russell Westbrook,LAL,25,12.0,14.0,1.0,2.0,W,HOME,MIA,LAL,34.043056,-118.267222
2021-11-10,James Harden,BKN,17,11.0,11.0,2.0,0.0,W,AWAY,ORL,ORL,28.539167,-81.383611
2021-11-12,Luka Dončić,DAL,32,12.0,15.0,2.0,0.0,W,AWAY,SAS,SAS,29.426944,-98.4375
2021-11-12,Nikola Jokić,DEN,22,19.0,10.0,1.0,0.0,W,HOME,ATL,DEN,39.74892,-105.0084
2021-11-13,Malcolm Brogdon,IND,13,10.0,10.0,0.0,0.0,W,HOME,PHI,IND,39.763889,-86.155556
2021-11-14,Dejounte Murray,SAS,22,10.0,10.0,3.0,1.0,L,AWAY,LAL,LAL,34.043056,-118.267222
2021-11-17,Jimmy Butler,MIA,31,10.0,10.0,0.0,1.0,W,HOME,NOP,MIA,25.781389,-80.188056
2021-11-21,Cade Cunningham,DET,13,12.0,10.0,2.0,0.0,L,HOME,LAL,DET,42.341111,-83.055
2021-11-22,Dejounte Murray,SAS,18,10.0,11.0,3.0,1.0,L,HOME,PHO,SAS,29.426944,-98.4375
2021-11-23,Russell Westbrook,LAL,31,13.0,10.0,2.0,0.0,L,AWAY,NYK,NYK,40.750556,-73.993611
2021-11-26,Russell Westbrook,LAL,29,10.0,11.0,2.0,0.0,L,HOME,SAC,LAL,34.043056,-118.267222
2021-11-27,LaMelo Ball,CHA,19,11.0,13.0,1.0,0.0,L,AWAY,HOU,HOU,29.750833,-95.362222
2021-11-27,James Harden,BKN,12,13.0,14.0,1.0,2.0,L,HOME,PHO,BKN,40.682661,-73.975225
2021-11-29,Domantas Sabonis,IND,16,25.0,10.0,0.0,1.0,L,AWAY,MIN,MIN,44.9795,-93.2761
2021-11-29,Luka Dončić,DAL,25,10.0,10.0,1.0,0.0,L,HOME,CLE,DAL,32.790556,-96.810278
2021-12-06,Nikola Jokić,DEN,17,12.0,15.0,2.0,0.0,L,AWAY,CHI,CHI,41.880556,-87.674167
2021-12-08,Nikola Jokić,DEN,39,11.0,11.0,1.0,0.0,W,AWAY,NOP,NOP,29.948889,-90.081944
2021-12-09,LeBron James,LAL,20,10.0,11.0,4.0,2.0,L,AWAY,MEM,MEM,35.138333,-90.050556
2021-12-09,Nikola Jokić,DEN,22,13.0,10.0,2.0,1.0,L,AWAY,SAS,SAS,29.426944,-98.4375
2021-12-12,LeBron James,LAL,30,11.0,10.0,0.0,3.0,W,HOME,ORL,LAL,34.043056,-118.267222
2021-12-12,Dejounte Murray,SAS,10,12.0,10.0,3.0,0.0,W,HOME,NOP,SAS,29.426944,-98.4375
2021-12-12,Giannis Antetokounmpo,MIL,20,10.0,11.0,1.0,1.0,W,AWAY,NYK,NYK,40.750556,-73.993611
2021-12-14,Kevin Durant,BKN,34,13.0,11.0,0.0,1.0,W,HOME,TOR,BKN,40.682661,-73.975225
2021-12-15,Nikola Jokić,DEN,27,10.0,11.0,1.0,0.0,L,HOME,MIN,DEN,39.74892,-105.0084
2021-12-17,Dejounte Murray,SAS,16,11.0,11.0,2.0,1.0,W,AWAY,UTA,UTA,40.768333,-111.901111
2021-12-20,Draymond Green,GSW,16,11.0,10.0,2.0,2.0,W,HOME,SAC,GSW,37.768,-122.387
2021-12-20,Dejounte Murray,SAS,24,11.0,13.0,5.0,0.0,W,AWAY,LAC,LAC,34.043056,-118.267222
2021-12-22,Shai Gilgeous-Alexander,OKC,27,11.0,12.0,1.0,1.0,W,HOME,DEN,OKC,35.463333,-97.515
2021-12-25,Russell Westbrook,LAL,13,12.0,11.0,1.0,0.0,L,HOME,BKN,LAL,34.043056,-118.267222
2021-12-25,James Harden,BKN,36,10.0,10.0,1.0,3.0,W,AWAY,LAL,LAL,34.043056,-118.267222
2021-12-25,Kemba Walker,NYK,10,10.0,12.0,0.0,0.0,W,HOME,ATL,NYK,40.750556,-73.993611
2021-12-28,Tobias Harris,PHI,19,12.0,10.0,2.0,1.0,W,AWAY,TOR,TOR,43.643333,-79.379167
2021-12-28,Russell Westbrook,LAL,24,13.0,10.0,2.0,0.0,W,AWAY,HOU,HOU,29.750833,-95.362222
2021-12-28,LeBron James,LAL,32,10.0,11.0,1.0,2.0,W,AWAY,HOU,HOU,29.750833,-95.362222
2021-12-29,Russell Westbrook,LAL,16,10.0,12.0,0.0,0.0,L,AWAY,MEM,MEM,35.138333,-90.050556
2021-12-30,James Harden,BKN,33,14.0,10.0,2.0,0.0,L,HOME,PHI,BKN,40.682661,-73.975225
2021-12-31,Robert Williams III,BOS,10,11.0,10.0,2.0,5.0,W,HOME,PHO,BOS,42.366303,-71.062228
2021-12-31,Russell Westbrook,LAL,15,13.0,12.0,2.0,0.0,W,HOME,POR,LAL,34.043056,-118.267222
2022-01-01,James Harden,BKN,34,12.0,13.0,1.0,0.0,L,HOME,LAC,BKN,40.682661,-73.975225
2022-01-01,Giannis Antetokounmpo,MIL,35,16.0,10.0,2.0,0.0,W,HOME,NOP,MIL,43.045028,-87.918167
2022-01-02,Josh Giddey,OKC,17,13.0,14.0,4.0,0.0,L,HOME,DAL,OKC,35.463333,-97.515
2022-01-03,Joel Embiid,PHI,31,15.0,10.0,1.0,2.0,W,HOME,HOU,PHI,39.901111,-75.171944
2022-01-05,Domantas Sabonis,IND,32,12.0,10.0,0.0,0.0,L,HOME,BKN,IND,39.763889,-86.155556
2022-01-05,Nikola Jokić,DEN,26,21.0,11.0,0.0,2.0,L,HOME,UTA,DEN,39.74892,-105.0084
2022-01-06,Chris Paul,PHO,14,13.0,10.0,2.0,1.0,W,HOME,LAC,PHO,33.445833,-112.071389
2022-01-07,Fred VanVleet,TOR,37,10.0,10.0,2.0,1.0,W,HOME,UTA,TOR,43.643333,-79.379167
2022-01-08,Jaylen Brown,BOS,22,11.0,11.0,2.0,0.0,W,HOME,NYK,BOS,42.366303,-71.062228
2022-01-09,Luka Dončić,DAL,22,14.0,14.0,0.0,0.0,W,HOME,CHI,DAL,32.790556,-96.810278
2022-01-10,Domantas Sabonis,IND,11,22.0,10.0,1.0,0.0,L,AWAY,BOS,BOS,42.366303,-71.062228
2022-01-11,Stephen Curry,GSW,27,10.0,10.0,2.0,0.0,L,AWAY,MEM,MEM,35.138333,-90.050556
2022-01-12,Dejounte Murray,SAS,32,10.0,11.0,3.0,0.0,L,HOME,HOU,SAS,29.426944,-98.4375
2022-01-12,Darius Garland,CLE,11,10.0,14.0,1.0,0.0,W,AWAY,UTA,UTA,40.768333,-111.901111
2022-01-13,Giannis Antetokounmpo,MIL,30,12.0,11.0,0.0,3.0,W,HOME,GSW,MIL,43.045028,-87.918167
2022-01-14,Luka Dončić,DAL,27,13.0,10.0,0.0,0.0,W,AWAY,MEM,MEM,35.138333,-90.050556
2022-01-15,Nikola Jokić,DEN,17,12.0,13.0,1.0,0.0,W,HOME,LAL,DEN,39.74892,-105.0084
2022-01-16,Nikola Jokić,DEN,25,15.0,14.0,2.0,0.0,L,HOME,UTA,DEN,39.74892,-105.0084
2022-01-17,Jimmy Butler,MIA,19,10.0,10.0,1.0,0.0,W,HOME,TOR,MIA,25.781389,-80.188056
2022-01-17,Luka Dončić,DAL,20,11.0,12.0,3.0,3.0,W,HOME,OKC,DAL,32.790556,-96.810278
2022-01-19,Dejounte Murray,SAS,23,10.0,14.0,3.0,0.0,W,HOME,OKC,SAS,29.426944,-98.4375
2022-01-19,Nikola Jokić,DEN,49,14.0,10.0,3.0,1.0,W,HOME,LAC,DEN,39.74892,-105.0084
2022-01-19,Domantas Sabonis,IND,20,12.0,10.0,0.0,1.0,W,AWAY,LAL,LAL,34.043056,-118.267222
2022-01-19,LaMelo Ball,CHA,15,10.0,10.0,0.0,1.0,W,AWAY,BOS,BOS,42.366303,-71.062228
2022-01-21,Dejounte Murray,SAS,25,12.0,10.0,1.0,0.0,L,HOME,BKN,SAS,29.426944,-98.4375
2022-01-21,Nikola Jokić,DEN,26,11.0,12.0,2.0,1.0,L,HOME,MEM,DEN,39.74892,-105.0084
2022-01-21,James Harden,BKN,37,10.0,11.0,0.0,1.0,W,AWAY,SAS,SAS,29.426944,-98.4375
2022-01-23,Jimmy Butler,MIA,20,10.0,12.0,2.0,1.0,W,HOME,LAL,MIA,25.781389,-80.188056
