DATE,PLAYER,TEAM,PTS,REB,AST,STL,BLK,RES,LOC,VS,POS,LAT,LON
1963-10-16,Oscar Robertson,CIN,22,14.0,15.0,,,W,AWAY,STL,STL,38.627972,-90.201782
1963-10-22,Oscar Robertson,CIN,22,12.0,11.0,,,W,HOME,SFW,CIN,39.1811,-84.4553
1963-11-26,Oscar Robertson,CIN,32,10.0,11.0,,,W,N,SFW,SFW,37.778457,-122.417369
1963-11-28,Oscar Robertson,CIN,38,11.0,16.0,,,W,AWAY,PHI,PHI,39.901111,-75.171944
1963-11-30,Bill Russell,BOS,19,32.0,10.0,,,W,HOME,SFW,BOS,42.366303,-71.062228
1963-12-07,Oscar Robertson,CIN,35,15.0,14.0,,,W,AWAY,NYK,NYK,40.750556,-73.993611
1963-12-08,Oscar Robertson,CIN,32,13.0,12.0,,,L,HOME,PHI,CIN,39.1811,-84.4553
1963-12-18,Wilt Chamberlain,SFW,27,27.0,11.0,,,W,HOME,STL,SFW,37.778457,-122.417369
1963-12-22,Wilt Chamberlain,SFW,40,23.0,12.0,,,W,HOME,PHI,SFW,37.778457,-122.417369
1963-12-25,Oscar Robertson,CIN,37,15.0,16.0,,,W,HOME,STL,CIN,39.1811,-84.4553
1963-12-27,Oscar Robertson,CIN,37,22.0,11.0,,,W,HOME,BOS,CIN,39.1811,-84.4553
1963-12-29,Oscar Robertson,CIN,29,17.0,13.0,,,W,HOME,NYK,CIN,39.1811,-84.4553
1964-01-04,Elgin Baylor,LAL,20,20.0,11.0,,,W,HOME,BOS,LAL,34.043056,-118.267222
1964-01-05,Oscar Robertson,CIN,25,13.0,19.0,,,W,HOME,BAL,CIN,39.1811,-84.4553
1964-01-07,Oscar Robertson,CIN,26,14.0,17.0,,,W,N,PHI,PHI,39.901111,-75.171944
1964-01-12,Oscar Robertson,CIN,34,10.0,11.0,,,W,HOME,DET,CIN,39.1811,-84.4553
1964-01-19,Oscar Robertson,CIN,44,10.0,10.0,,,L,AWAY,STL,STL,38.627972,-90.201782
1964-01-21,Oscar Robertson,CIN,31,11.0,10.0,,,W,AWAY,NYK,NYK,40.750556,-73.993611
1964-01-30,Oscar Robertson,CIN,28,14.0,18.0,,,W,N,NYK,NYK,40.750556,-73.993611
1964-01-31,Oscar Robertson,CIN,35,17.0,10.0,,,W,N,BAL,BAL,39.313333,-76.647778
1964-02-04,Guy Rodgers,SFW,12,13.0,10.0,,,W,HOME,DET,SFW,37.778457,-122.417369
1964-02-07,Oscar Robertson,CIN,42,10.0,14.0,,,W,HOME,PHI,CIN,39.1811,-84.4553
1964-02-08,Oscar Robertson,CIN,30,11.0,11.0,,,W,AWAY,BAL,BAL,39.313333,-76.647778
1964-02-09,Bill Russell,BOS,24,23.0,10.0,,,W,HOME,PHI,BOS,42.366303,-71.062228
1964-02-12,Oscar Robertson,CIN,38,18.0,14.0,,,W,N,DET,DET,42.6969,-83.24555
1964-02-14,Oscar Robertson,CIN,29,11.0,21.0,,,W,HOME,NYK,CIN,39.1811,-84.4553
1964-02-17,Oscar Robertson,CIN,45,11.0,12.0,,,W,N,SFW,SFW,37.778457,-122.417369
1964-02-29,Oscar Robertson,CIN,43,10.0,10.0,,,W,AWAY,PHI,PHI,39.901111,-75.171944
1964-03-01,Oscar Robertson,CIN,35,11.0,14.0,,,W,AWAY,BAL,BAL,39.313333,-76.647778
